"","gsc","no_ref","win_ref"
"1","6011102321777975981",57,""
"2","5783578993305100049",30,"8289021342855558176|17524241152479259458"
"3","16402910893878788259",0,""
"4","4901956600431798800",2,""
"5","1781766335103036726",2,""
"6","8364913593943584988",25,"2178500113847122432|15232863489412419097|17525824778436963126|2755478082970559510|16276297231141117463"
"7","12021594693671688999",218,"4720068888103178430|5376773155503413590|7364335901401499652|5116663888640807073|18019012530933088348|304338748587054938|11744806829323175461|15397681090571566352|6116679526498741915|405484615237516781|8752800357398772150"
"8","15676451201560799581",47,""
"9","16588632845206389302",5,""
"10","1766555549069603073",15,""
"11","15232863489412419097",40,"1571129024507912756|17525824778436963126|7278547811754330346|18090328867706649279|2755478082970559510|16276297231141117463"
"12","2785586168781670494",11,"6898565870034977114"
"13","13883262842558479255",52,"5116663888640807073|776968177559771446"
"14","5122044426468368607",6,"1571129024507912756|3578350359282359077|18090328867706649279"
"15","9541340872133322326",3,"1571129024507912756|18090328867706649279"
"16","10414701704056396766",53,"9078789530982105621|15984853977375304837|11351703201172433691|1672542369718610906|13862997009944514441"
"17","15376609243170697189",36,"10107310476031659138|14421633296636055657|7392902419163354003|15369475864192034659"
"18","1571129024507912756",10,""
"19","3140411546812095568|15690442731476067221",222,"4720068888103178430|10935304083398930833|5376773155503413590|13883262842558479255|8347259751458631971|7364335901401499652|319607914197906293|8495558384999898192|3907354121185999848|14129324961857661565|13413072286841187229|304338748587054938|5768385528986110490|11744806829323175461|9975778981456457950|18340469069556949129|6198767401959411329|15369475864192034659|645850665961501145|9977679068032873450|776968177559771446|405484615237516781|18317753853438832501|5116663888640807073|6116679526498741915"
"20","2533973818486057472",36,"4537066903811917183|6729187441749415685|15274025032195515406|14064810811573050452|353675683955473249|17562390653818184065|7007704270923744745|11838286190902064906|2532550215998274877|4782068552717627566|626977247688835538|2862041699259010282|10045806777044423682|3853481226495975509"
