"","pmid","eid"
"1","9180618","2-s2.0-0030976431"
"2","10566452","2-s2.0-0033258311"
"3","14728151","2-s2.0-3042712972"
"4","16237912","2-s2.0-25844522766"
"5","16285422","2-s2.0-27844575218"
"6","17609372","2-s2.0-34547488336"
"7","17911834","2-s2.0-35748967618"
"8",NA,NA
"9","18041060","2-s2.0-38049007891"
"10","18379603","2-s2.0-46249134103"
"11","18581820","2-s2.0-43149085526"
"12","19221375","2-s2.0-60849087696"
"13","19265091","2-s2.0-62149110753"
"14","19360091","2-s2.0-66249129037"
"15","19536030","2-s2.0-67649768611"
"16","19707203","2-s2.0-70249104257"
"17","19356822","2-s2.0-69049104109"
"18","19851238","2-s2.0-75349113009"
"19","20122820","2-s2.0-77951641206"
"20","20333236","2-s2.0-77950837349"
"21","20459821","2-s2.0-77951959363"
"22","20457681","2-s2.0-77953057950"
"23","20682917","2-s2.0-78650023587"
"24","20169528","2-s2.0-79251567094"
"25","25485309",NA
"26","22211183",NA
"27","21277996","2-s2.0-79952774177"
"28","21330578","2-s2.0-79955661560"
"29","21292706","2-s2.0-79953121962"
"30","22033158","2-s2.0-84555177626"
"31","25621314",NA
"32","21829475","2-s2.0-79960914062"
"33","21901084","2-s2.0-80052329143"
"34","22195066","2-s2.0-84874200282"
"35","22567073","2-s2.0-80055058490"
"36","21521213","2-s2.0-80052528865"
"37","21850532","2-s2.0-80054869145"
"38","22195103","2-s2.0-84874194785"
"39","22176787","2-s2.0-83455203424"
"40","22216255","2-s2.0-84455161574"
"41","22048555","2-s2.0-80955151595"
"42","23399988",NA
"43","22249922","2-s2.0-84856025486"
"44","22092259","2-s2.0-84855846283"
"45","22558106","2-s2.0-84865835090"
"46","22506565","2-s2.0-84859816620"
"47","22587849","2-s2.0-84862066499"
"48","24489520",NA
"49","22797644","2-s2.0-84863934511"
"50","24303229",NA
"51","22696255","2-s2.0-84878831769"
"52","23019240","2-s2.0-84874764657"
"53","23467473","2-s2.0-84879981660"
"54","24348884","2-s2.0-84946188950"
"55",NA,NA
"56","23920531","2-s2.0-84894299146"
"57","23807593","2-s2.0-84880743668"
"58","23468249","2-s2.0-84882258354"
"59","24551355","2-s2.0-84901255829"
"60","24551416","2-s2.0-84901283270"
"61",NA,NA
"62","24386075","2-s2.0-84893565626"
"63","23956017","2-s2.0-84890337404"
"64","24075292","2-s2.0-84890567157"
"65","24529966","2-s2.0-84896102168"
"66","24714579","2-s2.0-84898047437"
"67","24727931","2-s2.0-84901485425"
"68","25128055","2-s2.0-84906242501"
"69","24768079","2-s2.0-84899983190"
"70","25249979",NA
"71","25047711",NA
"72","25532373","2-s2.0-84908131194"
"73","25954471",NA
"74",NA,NA
"75","25060655",NA
"76",NA,NA
"77","24177317",NA
"78","25516155",NA
"79","25160375","2-s2.0-84929515750"
"80","25442972",NA
"81","25517071","2-s2.0-84922064280"
"82","26306228",NA
"83","25710558",NA
"84","25336590","2-s2.0-84934290752"
"85","25795994","2-s2.0-84924989346"
"86","26055627",NA
"87","25906013","2-s2.0-84929907690"
"88","25903304","2-s2.0-84938751153"
"89",NA,NA
"90","26184383",NA
"91","26072907",NA
"92","26470863",NA
"93","26505477",NA
"94","26511511",NA
"95","26659851",NA
"96",NA,NA
"97","26614887",NA
"98","26419864",NA
"99","25650023",NA
"100","26210433",NA
