Google Scholar Cluster,Year,Date,eDate,Authors,Title,Type,Journal/conference/book,ISSN/ISBN,Keywords,Step,Review Group,Citation Count,Internal Citations,Debut,Same study,Conceptual framework,Methodological framework,Data source,Interval,Software,Graph construction,Structure of interest
16402910893878788259,2005,Sep,2005/10/22,"Boyer, L.|Chanut, C.|Horte, C.|Mabriez, J. C.|Auquier, P.",Analysis of transfer from one hospital to another in patient with myocardial infarction in the provence--alpes--cote-d'azur,Journal Article,Annales de Cardiologie et d'Angeiologie,0003-3928 (Print)|0003-3928,Myocardial infarction|Social network analysis|Hospital cooperation,PubMed,Institutional exchange,0,,2005-09-30,,Ð,Regression,"ProvenceÐAlpesÐCote d'Azur, France",JanÐJun 2000,,Ð,"Neighborhoods, cliques, graph"
4901956600431798800,2005,Sep,2005/11/16,"Chanut, C.|Boyer, L.|Robitail, S.|Horte, C.|Jacqueme, B.|Giusiano, B.|Mabriez, J. C.|Auquier, P.",Applying social network analysis to the health system,Journal Article,Sante Publique,0995-3914 (Print)|0995-3914,myocardial infarction|social network analysis|health system,PubMed,Institutional exchange,2,,2005-09-30,16402910893878788259,,,,,,,
8364913593943584988,2007,Nov,2007/11/13,"Liljeros, F.|Giesecke, J.|Holme, P.",The contact network of inpatients in a regional healthcare system. A longitudinal case study,Journal Article,Mathematical Population Studies,0889-8480,assortative interaction|clustering|contact network|hospital diseases|network epidemiology|social network,Reference,Institutional exchange,25,2178500113847122432|15232863489412419097|17525824778436963126|2755478082970559510|16276297231141117463,2007-11-13,,Epidemiology,Ð,Stockholm county > local governmental office,,,Proximate co-occurrence of inpatients in hospital or nursing home wards,"Graph, neighborhoods, triads"
12021594693671688999,2007,Jul 10,2007/07/03,"Rzhetsky, A.|Wajngurt, D.|Park, N.|Zheng, T.",Probing genetic overlap among complex human phenotypes,Journal Article,Proceedings of the National Academy of Sciences,,autism|bipolar disorder|harmful genetic polymorphisms|schizophrenia|shared genes,Seed,Clinical co-occurrence,218,4720068888103178430|5376773155503413590|7364335901401499652|5116663888640807073|18019012530933088348|304338748587054938|11744806829323175461|15397681090571566352|6116679526498741915|405484615237516781|8752800357398772150,2007-07-03,,Molecular biology of disease,Probabilistic modeling,Columbia University Medical Center,Ð,Ð,Co-occurrence of diseases across patients by onset time,Dyads
15676451201560799581,2008,Jan 15,2007/11/26,"Aprile, G.|Ramoni, M.|Keefe, D.|Sonis, S.",Application of distance matrices to define associations between acute toxicities in colorectal cancer patients receiving chemotherapy,Journal Article,Cancer,0008-543X (Print)|0008-543x,toxicity|chemotherapy|colorectal cancer|distance matrix.,PubMed,Clinical co-occurrence,47,,2007-11-26,,Clinical ontology,Ð,Dana Farber Cancer Institute,Ð1 Dec 2005,Ð,Co-occurrence of toxicities across patients,"Neighborhoods, communities"
16588632845206389302,2008,Jan,2007/11/07,"Minerba, L.|Chessa, A.|Coppola, R. C.|Mula, G.|Cappellini, G.",A complex network analysis of a health organization,Journal Article,Igiene e Sanita Pubblica,,Complex network analysis|Healthcare,Reference,Workplace interaction,5,,2007-11-07,,Organizational effectiveness,Ð,Uniform Hospital Discharge Data Set (Scheda di Dimissione Ospedaliera),2003,Ð,Co-occurrence of physicians across diagnoses,Communities
1766555549069603073,2008,Jun,2008/06/28,"Rossille, D.|Cuggia, M.|Arnault, A.|Bouget, J.|Le Beux, P.",Managing an emergency department by analysing his medical data: A focus on elderly patient clinical pathways,Journal Article,Health Care Management Science,1386-9620 (Print)|1386-9620,Management information systems|Emergency service|Hospital|Critical pathways|Decision making|Computer-assisted,PubMed,Workplace interaction,15,,2008-06-28,,Decision support,Process mining,Rennes Hospital,Oct 2005ÐMay 2006,Graphviz,Sequential occurrence of ED services across patients,"Dyads, graph"
15232863489412419097,2008,Oct,2008/07/04,"Ueno, T.|Masuda, N.",Controlling nosocomial infection based on structure of hospital social networks,Journal Article,Journal of Theoretical Biology,0022-5193,SIR model|Complex networks|Healthcare worker,Reference,Workplace interaction,40,1571129024507912756|17525824778436963126|7278547811754330346|18090328867706649279|2755478082970559510|16276297231141117463,2008-07-04,,Epidemiology,Stochastic modeling,a community hospital in Tokyo,a weekend in Sep 2007 and a weekday in Nov 2007,Ð,"Associations between patients, nurses, and doctors across medical records; co-occurrence of patients across rooms","Neighborhoods, paths, diffusion"
2785586168781670494,2009,Oct-Dec,2009/10/24,"Baumgart, A.|Denz, C.|Bender, H. J.|Schleppers, A.",How work context affects operating room processes: Using data mining and computer simulation to analyze facility and process design,Journal Article,Quality Management in Health Care,1063-8628 (Print)|1063-8628,facility layout|operating room|process design|simulation|work context,Seed,Workplace interaction,11,6898565870034977114,2009-10-24,,Organizational effectiveness,Process mining,a German university-affiliated hospital,3 years,ProM,Sequential occurrence of clinical events across patients; designated patient handoffs between departments,Graph
13883262842558479255,2009,Sep,2009/08/25,"Chen, L. L.|Blumm, N.|Christakis, N. A.|Barabasi, A.-L.|Deisboeck, T. S.",Cancer metastasis networks and the prediction of progression patterns,Journal Article,British Journal of Cancer,0007-0920,progression|metastasis|comorbidity networks|prediction,Seed,Clinical co-occurrence,52,5116663888640807073|776968177559771446,2009-08-25,,Disease progression,Probabilistic modeling,Medicare Provider Analysis and Review,1990Ð1993,Ð,Sequential occurrence of metastasis sites across patients,Paths
10414701704056396766,2009,Oct,2009/04/07,"Fattore, G.|Frosini, F.|Salvatore, D.|Tozzi, V.",Social network analysis in primary care: The impact of interactions on prescribing behaviour,Journal Article,Health Policy,0168-8510 (Print)|0168-8510,Physicians|Family|Organizational policy|Models|Organizational|Group practice|Primary care|Social network analysis|Prescription|Interaction patterns,PubMed,Physician collaboration,53,9078789530982105621|15984853977375304837|11351703201172433691|1672542369718610906|13862997009944514441,2009-04-07,,Social capital and social influence,Regression,"Tuscany, Italy > Local Health Authority of Empoli",2001Ð2004,UCINET,Co-occurrence of GPs across collaborative arrangements,"Neighborhoods, graph"
15376609243170697189,2009,Apr 13,2009/04/13,"Hanauer, D. A.|Rhodes, D. R.|Chinnaiyan, A. M.",Exploring clinical associations using '-omics' based enrichment analyses,Journal Article,PLoS One,,,Reference,Clinical co-occurrence,36,10107310476031659138|14421633296636055657|7392902419163354003|15369475864192034659,2009-04-13,,Ð,Hypothesis generation,University of Michigan,Ð,Molecular Concept Map,Co-occurrence of clinical problems across patients,Dyads
